series_title,watch_count,tmdb_id,tmdb_name,genres,overview,status
The Big Bang Theory,279,1418.0,The Big Bang Theory,Comedy,Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door.,OK
How I Met Your Mother,186,1100.0,How I Met Your Mother,Comedy,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,OK
The Flash,178,60735.0,The Flash,"Drama, Sci-Fi & Fantasy","After being struck by lightning, CSI investigator Barry Allen awakens from a nine-month coma to discover he has been  granted the gift of super speed.  Teaming up with S.T.A.R. Labs, Barry takes on the persona of The Flash, the Fastest  Man Alive, to protect his city.",OK
The Walking Dead,177,1402.0,The Walking Dead,"Action & Adventure, Drama, Sci-Fi & Fantasy",Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,OK
Young Sheldon,141,71728.0,Young Sheldon,"Comedy, Family, Drama","The early life of child genius Sheldon Cooper, later seen in The Big Bang Theory.",OK
Shameless (U.S.),133,,,,,NOT_FOUND
Suits,122,37680.0,Suits,Drama,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",OK
New Girl,122,1420.0,New Girl,Comedy,"Jessica Day is an offbeat and adorable girl in her late 20s who, after a bad breakup, moves in with three single guys. Goofy, positive, vulnerable and honest to a fault, Jess has faith in people, even when she shouldn't. Although she's dorky and awkward, she's comfortable in her own skin. More prone to friendships with women, she's not used to hanging with the boys—especially at home.",OK
The Good Doctor,116,71712.0,The Good Doctor,Drama,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",OK
The Rookie,108,79744.0,The Rookie,"Crime, Drama, Comedy","Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force's oldest rookie, he’s met with skepticism from some higher-ups who see him as just a walking midlife crisis.",OK
Lost,100,4607.0,Lost,"Mystery, Action & Adventure, Drama","Stripped of everything, the survivors of a horrific plane crash  must work together to stay alive. But the island holds many secrets.",OK
Gossip Girl,93,1395.0,Gossip Girl,"Drama, Mystery",An exclusive group of privileged teens from a posh prep school on Manhattan's Upper East Side whose lives revolve around the blog of the all-knowing albeit ultra-secretive Gossip Girl.,OK
The 100,89,48866.0,The 100,"Sci-Fi & Fantasy, Action & Adventure, Drama, Crime","100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",OK
Teen Wolf,88,34524.0,Teen Wolf,"Sci-Fi & Fantasy, Drama, Comedy","Scott McCall, a high school student living in the town of Beacon Hills has his life drastically changed when he's bitten by a werewolf, becoming one himself. He must henceforth learn to balance his problematic new identity with his day-to-day teenage life. The following characters are instrumental to his struggle: Stiles, his best friend; Allison, his love interest who comes from a family of werewolf hunters; and Derek, a mysterious werewolf with a dark past. Throughout the series, he strives to keep his loved ones safe while maintaining normal relationships with them.",OK
Rick and Morty,81,60625.0,Rick and Morty,"Animation, Comedy, Sci-Fi & Fantasy, Action & Adventure",Follows a sociopathic genius scientist who drags his inherently timid grandson on adventures across the universe.,OK
Cobra Kai,66,77169.0,Cobra Kai,"Action & Adventure, Drama, Comedy","This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",OK
Vikings,66,44217.0,Vikings,"Action & Adventure, Drama, War & Politics","The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",OK
"House, M.D.",64,1408.0,House,"Drama, Comedy, Mystery","Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",OK
Arrow,64,1412.0,Arrow,"Crime, Drama, Action & Adventure","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",OK
Breaking Bad,62,1396.0,Breaking Bad,"Drama, Crime","Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",OK
